Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
2388.jpg	64.74	64.37	84.60	63.24	64.80	64.55
2389.jpg	71.01	36.40	40.51	3.70	58.95	71.13
239.jpg	55.54	48.18	53.62	49.87	53.67	56.99
2390.jpg	48.91	45.39	56.35	15.40	53.73	49.80
2391.jpg	78.76	76.23	84.41	73.54	80.47	79.18
2392.jpg	85.49	61.03	44.25	41.00	74.59	86.14
2393.jpg	71.37	62.94	67.60	48.95	67.64	71.99
2394.jpg	74.30	51.22	66.14	47.78	64.41	74.80
2395.jpg	84.27	81.15	83.08	65.22	82.41	83.30
2396.jpg	66.79	49.65	55.06	43.93	58.16	68.17
2397.jpg	44.76	42.73	43.28	36.81	43.04	45.00
2398.jpg	47.35	44.73	46.65	42.51	44.87	46.49
2399.jpg	92.56	86.11	86.07	83.35	88.76	93.35
24.jpg	56.76	50.26	54.04	44.15	53.10	57.09
240.jpg	79.04	52.16	65.73	46.09	63.58	78.34
2400.jpg	41.14	41.87	41.65	39.95	42.03	41.75
2401.jpg	94.67	78.26	85.46	21.81	88.10	95.20
2402.jpg	72.43	57.89	68.21	41.44	71.80	73.13
2403.jpg	31.86	30.80	30.49	17.85	30.62	32.08
2404.jpg	63.87	51.60	57.87	32.49	57.66	63.57
2405.jpg	54.39	40.13	45.50	22.76	49.43	54.82
2406.jpg	95.28	91.60	91.62	62.10	94.53	95.39
2407.jpg	33.35	13.19	25.95	25.40	27.14	33.56
2408.jpg	61.84	26.72	39.30	33.49	45.84	58.36
2409.jpg	89.11	87.75	90.43	85.24	91.55	89.59
241.jpg	68.51	57.46	69.18	59.32	64.60	70.88
2410.jpg	68.53	43.18	53.37	24.48	58.02	68.99
2411.jpg	61.93	53.80	53.36	46.13	54.55	61.10
2412.jpg	74.08	58.79	57.09	49.78	67.41	75.32
2413.jpg	90.90	79.76	82.32	79.36	82.41	90.98
2414.jpg	61.68	36.90	39.85	19.37	49.79	61.45
2415.jpg	76.24	78.04	74.64	66.71	76.90	76.39
2416.jpg	57.33	38.95	50.07	29.46	47.26	57.41
2417.jpg	75.62	70.00	69.25	51.08	74.24	76.53
2418.jpg	52.59	48.94	54.75	35.85	51.02	53.27
2419.jpg	90.84	65.45	38.73	37.77	73.61	92.41
242.jpg	60.54	60.84	65.73	56.20	62.96	61.29
2420.jpg	88.68	40.60	78.18	69.97	79.98	87.53
2421.jpg	59.73	48.34	64.70	47.56	55.01	59.58
2422.jpg	94.76	67.34	69.33	69.35	71.15	95.34
2423.jpg	67.79	64.19	62.06	48.14	63.24	66.95
2424.jpg	81.22	79.40	80.22	77.68	81.56	81.61
2425.jpg	66.57	27.94	55.47	48.46	56.81	66.79
2426.jpg	68.30	71.36	68.80	72.68	73.12	69.72
2427.jpg	80.20	83.29	80.63	82.85	83.86	83.26
2428.jpg	66.34	57.88	60.28	57.20	61.04	67.21
2429.jpg	70.50	67.68	67.03	57.01	71.79	71.31
243.jpg	40.11	33.11	59.97	29.95	39.91	40.69
