Image	Model1	Model2	Model3	Model4	MajorityVoting	WeightedVoting
348.jpg	97.12	60.30	81.73	56.99	76.47	97.83
3480.jpg	74.60	36.02	36.35	28.76	37.45	80.11
3481.jpg	94.30	62.68	85.27	62.31	86.32	92.52
3482.jpg	43.36	43.14	38.24	33.90	44.17	43.66
3483.jpg	79.28	21.16	42.34	21.50	38.01	80.39
3486.jpg	73.11	61.46	69.59	62.14	73.06	73.09
3485.jpg	92.25	30.48	83.84	21.01	81.44	91.15
3484.jpg	92.81	64.86	58.67	50.47	66.59	93.72
3487.jpg	87.79	43.09	80.54	46.09	75.86	87.67
3488.jpg	63.90	32.73	55.69	36.19	51.46	64.15
3489.jpg	45.62	24.24	27.76	35.19	34.47	43.80
349.jpg	94.24	74.29	76.38	58.53	78.48	93.99
3490.jpg	50.36	67.00	40.48	31.65	57.97	49.97
3491.jpg	78.44	55.03	65.24	55.35	63.81	78.06
3493.jpg	85.18	50.55	54.43	48.62	64.44	81.17
3492.jpg	81.29	53.56	62.42	45.76	72.01	81.16
3494.jpg	86.02	82.00	80.14	62.57	82.98	86.11
3495.jpg	65.16	27.04	41.33	24.90	37.17	65.26
3496.jpg	71.48	50.76	65.20	51.97	66.29	71.84
3497.jpg	51.74	37.79	75.99	36.79	62.87	51.64
3498.jpg	74.79	46.47	45.06	33.20	70.36	76.17
3499.jpg	70.44	61.53	56.50	54.27	71.20	71.19
350.jpg	84.81	61.66	66.54	45.79	65.84	83.63
35.jpg	91.54	87.76	88.03	83.61	88.04	91.47
3500.jpg	66.54	36.89	34.54	40.54	49.47	65.95
3503.jpg	75.17	64.23	69.73	43.73	70.88	75.15
3501.jpg	90.11	84.34	66.94	61.65	84.12	90.13
3502.jpg	62.58	59.48	69.95	58.41	63.58	62.79
3504.jpg	42.23	15.07	26.57	16.58	23.60	41.94
3507.jpg	80.20	30.56	38.44	36.83	52.36	78.85
3505.jpg	71.22	65.94	58.76	55.91	64.19	70.97
3506.jpg	93.46	52.11	58.33	32.70	57.91	93.40
3508.jpg	71.25	53.20	68.34	58.61	63.30	71.63
3509.jpg	70.35	35.65	39.39	39.97	38.11	70.41
3510.jpg	90.71	63.36	63.82	52.66	69.15	86.38
351.jpg	64.60	62.45	62.88	61.44	62.69	66.20
3511.jpg	92.60	57.02	81.73	69.00	83.39	92.28
3512.jpg	93.10	47.17	66.31	37.29	75.24	86.37
3513.jpg	66.11	61.62	61.68	61.46	61.71	66.14
3514.jpg	77.73	43.24	32.04	30.38	42.04	77.39
3515.jpg	37.73	32.98	30.73	23.10	32.31	37.28
3516.jpg	80.09	55.47	74.36	45.86	72.47	79.81
3518.jpg	56.95	30.73	60.99	30.29	48.59	57.05
3517.jpg	83.48	52.90	53.10	50.76	54.36	80.14
3519.jpg	82.55	71.74	74.45	63.02	80.64	82.20
352.jpg	87.87	87.96	75.95	63.27	87.62	88.27
3520.jpg	69.17	63.56	66.12	58.34	67.41	69.58
3521.jpg	85.52	70.90	77.51	58.84	78.83	83.41
3522.jpg	96.83	79.81	84.45	76.45	92.58	96.21
3524.jpg	70.37	69.03	63.34	65.23	67.41	70.14
3525.jpg	88.82	55.08	64.68	45.07	72.41	88.32
3523.jpg	72.82	20.85	74.36	31.53	64.29	72.82
3527.jpg	88.60	85.39	51.63	43.29	84.56	88.96
3526.jpg	42.89	42.26	45.95	32.49	43.65	43.05
3528.jpg	84.15	42.25	29.44	25.86	44.10	84.36
3529.jpg	70.80	54.49	61.14	56.49	62.48	70.75
353.jpg	69.58	47.50	54.40	52.06	57.98	69.45
3530.jpg	85.29	57.63	78.40	76.91	81.34	84.74
3531.jpg	82.04	66.97	94.40	56.74	81.10	81.16
3532.jpg	82.80	78.48	62.84	64.09	74.22	82.80
3533.jpg	60.11	47.83	42.64	45.94	50.00	62.69
3534.jpg	82.47	58.83	67.45	47.42	75.39	81.92
3535.jpg	64.64	55.30	66.93	58.55	68.94	67.17
3536.jpg	74.27	48.45	42.37	35.93	52.22	74.14
3537.jpg	65.12	70.60	61.90	38.56	60.84	64.28
3538.jpg	94.20	37.38	66.96	37.88	67.89	93.86
3539.jpg	77.48	67.22	75.11	61.26	72.98	77.69
354.jpg	66.01	62.47	64.27	58.96	63.98	65.36
3541.jpg	36.80	36.90	44.62	23.12	44.85	35.92
3540.jpg	74.56	66.58	83.78	67.48	82.08	75.63
3542.jpg	87.29	54.28	78.78	34.48	76.81	87.20
3543.jpg	81.08	59.97	65.66	59.32	65.26	79.71
3544.jpg	96.51	79.42	91.59	49.16	95.94	97.02
3545.jpg	84.17	54.14	59.51	53.46	61.82	83.80
3546.jpg	91.55	37.21	37.47	34.60	38.43	91.75
3547.jpg	88.10	26.50	32.37	16.23	32.31	78.85
3548.jpg	87.90	66.02	57.61	53.88	67.63	88.20
3549.jpg	91.88	64.05	69.70	17.99	82.34	91.96
355.jpg	83.53	51.69	76.03	60.41	71.51	83.33
3550.jpg	94.01	84.54	89.08	55.03	90.92	94.69
3551.jpg	99.38	70.58	74.25	68.70	78.12	98.97
3552.jpg	64.91	58.33	49.26	41.11	58.87	65.03
3553.jpg	90.87	30.06	69.01	28.34	69.27	90.59
3554.jpg	76.47	49.36	70.73	29.35	74.69	76.43
3556.jpg	88.00	74.05	78.11	58.88	77.18	87.99
3555.jpg	84.57	68.31	66.45	31.26	80.18	84.43
3557.jpg	80.56	61.56	56.07	61.08	74.68	81.45
3558.jpg	82.33	52.94	41.12	36.85	53.66	82.07
3559.jpg	93.21	73.84	81.57	72.35	80.38	93.03
356.jpg	67.73	67.28	67.17	52.22	68.75	70.27
3560.jpg	84.44	71.67	65.78	52.73	76.19	83.98
3561.jpg	89.62	57.37	69.80	51.20	72.54	82.71
3563.jpg	82.63	35.66	68.74	43.78	70.09	82.63
3562.jpg	76.31	72.56	74.39	72.52	74.19	76.34
3564.jpg	62.85	42.47	48.64	39.56	49.01	62.75
3565.jpg	65.64	64.65	63.74	56.26	65.28	65.53
3566.jpg	58.92	25.52	34.61	35.01	35.20	46.88
3567.jpg	96.65	83.59	90.91	54.52	91.13	95.67
3568.jpg	92.67	70.44	68.23	41.48	81.66	92.71
3569.jpg	79.14	46.07	62.71	49.63	68.40	78.42
357.jpg	86.23	71.80	80.36	50.02	85.42	86.41
3570.jpg	33.84	42.69	51.56	30.57	41.39	36.83
3571.jpg	82.86	68.22	76.48	78.63	77.28	79.38
3572.jpg	71.39	67.98	65.69	44.89	67.61	71.38
3573.jpg	52.62	33.73	69.09	33.05	45.66	52.32
3574.jpg	74.26	66.84	79.09	34.42	74.86	73.91
3575.jpg	61.37	40.01	36.29	35.50	39.68	58.81
3578.jpg	91.86	76.92	71.94	63.49	80.18	92.24
3577.jpg	85.49	46.97	51.29	29.84	53.47	76.64
3576.jpg	60.48	17.76	38.50	12.71	41.48	60.22
3579.jpg	59.71	50.66	59.18	43.52	60.49	59.40
358.jpg	92.20	63.90	93.52	74.65	94.26	92.97
3580.jpg	83.91	90.99	77.47	32.08	87.93	84.63
3581.jpg	97.64	62.74	78.43	23.53	95.18	98.15
3582.jpg	34.25	32.01	35.12	32.58	32.95	34.39
3583.jpg	66.81	45.07	40.20	34.75	41.35	67.12
3584.jpg	76.90	69.51	72.10	57.68	73.37	77.81
3585.jpg	89.20	73.69	78.49	50.46	82.95	88.43
3586.jpg	79.58	46.79	60.46	36.08	67.88	77.79
3587.jpg	97.39	87.79	45.59	40.95	88.03	96.92
3588.jpg	89.44	67.45	75.47	62.89	75.84	89.41
3589.jpg	76.90	26.97	45.57	40.21	46.18	75.96
359.jpg	69.55	42.62	43.66	31.73	43.10	68.12
3590.jpg	45.81	38.02	61.12	41.32	44.96	45.83
3591.jpg	59.98	47.27	28.65	23.38	51.68	58.56
3593.jpg	71.96	51.93	59.46	50.23	66.38	71.87
3592.jpg	94.95	74.29	73.81	76.94	79.29	91.48
3594.jpg	82.34	59.50	58.30	49.26	62.12	80.56
3595.jpg	86.16	72.59	57.26	81.06	80.36	84.25
3596.jpg	89.43	65.78	66.16	58.98	67.15	79.34
3597.jpg	84.68	54.13	79.06	55.93	76.74	84.79
3598.jpg	62.22	61.32	48.30	38.23	62.17	62.53
36.jpg	84.11	40.30	37.74	38.52	39.86	84.48
3599.jpg	84.79	64.83	30.08	14.62	67.30	84.99
360.jpg	65.29	61.91	54.02	31.79	63.61	65.50
3600.jpg	70.21	50.74	65.65	32.83	64.40	69.59
3601.jpg	75.58	64.81	62.69	46.48	67.67	75.25
3602.jpg	89.40	80.85	81.04	58.67	87.27	89.45
3603.jpg	89.02	68.80	67.83	41.91	74.07	87.64
3604.jpg	90.37	40.08	82.79	36.29	83.26	90.00
3605.jpg	67.97	26.23	35.06	20.69	38.66	65.95
3606.jpg	77.92	74.88	74.64	70.39	76.18	78.55
3607.jpg	77.34	81.02	79.11	77.22	81.06	79.46
3608.jpg	81.93	60.85	73.93	65.06	73.78	81.86
3609.jpg	84.10	26.73	29.90	6.62	38.61	84.05
361.jpg	66.03	48.56	51.52	38.01	53.97	64.41
3610.jpg	63.85	53.12	65.38	55.13	64.21	63.94
3611.jpg	92.37	71.37	74.31	60.17	81.70	91.28
3612.jpg	77.96	57.26	59.48	59.88	62.50	77.96
3613.jpg	85.56	75.13	92.67	68.33	85.92	85.42
3615.jpg	85.85	45.00	68.80	60.94	79.21	85.68
3614.jpg	69.59	79.10	74.65	34.26	79.85	69.52
3616.jpg	75.47	50.64	57.18	50.07	61.45	75.48
3617.jpg	86.13	82.39	86.31	72.44	82.78	86.28
3618.jpg	78.80	64.19	71.98	33.59	75.16	78.78
